brsr_id,target_id,mapping,confidence,verification,llm_decision,llm_confidence,llm_relationship,llm_reason,llm_raw_response,lexical_score,structural_score,property_score,embedding_score,eval_provider,eval_model,reasoning,explanation,issues
Disclosure_Q10_-4902536702272193205,Disclosure_Disclosure_403_1_Occupational_health_and_safety_ma,broadMatch,0.4607,Accepted,Agree,0.8,broadMatch,"The proposed mapping is supported by the automated evidence, particularly the lexical score, embedding similarity, and hierarchical relationship. However, the concepts are not exact matches due to differences in definition and context.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.8,
  ""relationship"": ""broadMatch"",
  ""reason"": ""The proposed mapping is supported by the automated evidence, particularly the lexical score, embedding similarity, and hierarchical relationship. However, the concepts are not exact matches due to differences in definition and context.""
}",0.6092,0.17,0.5,0.4406,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 46.1%.,"Verified alignment for Disclosure_Q10_-4902536702272193205 <-> Disclosure_Disclosure_403_1_Occupational_health_and_safety_ma with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q10_-4902536702272193205,Disclosure_Disclosure_403_8_Workers_covered_by_an_occupationa,broadMatch,0.3908,Accepted,Disagree,0.6,relatedMatch,"Although both concepts pertain to health and safety, the BRSR concept is more general and encompasses a broader scope, while the GRI concept specifically refers to workers covered by an occupational health and safety management system. The proposed mapping is not supported by the automated evidence, which shows low hierarchy similarity and relationship similarity.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.6,
  ""relationship"": ""relatedMatch"",
  ""reason"": ""Although both concepts pertain to health and safety, the BRSR concept is more general and encompasses a broader scope, while the GRI concept specifically refers to workers covered by an occupational health and safety management system. The proposed mapping is not supported by the automated evidence, which shows low hierarchy similarity and relationship similarity.""
}",0.49,0.17,0.5,0.3912,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 39.1%.,"Verified alignment for Disclosure_Q10_-4902536702272193205 <-> Disclosure_Disclosure_403_8_Workers_covered_by_an_occupationa with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q5_6360320180423613439,Disclosure_Disclosure_301_3_Reclaimed_products_and_their_pack,narrowMatch,0.3959,Accepted,Agree,0.85,narrowerMatch,"The proposed mapping is supported by the lexical, embedding, and hierarchical similarity scores. The GRI concept is more general and encompasses a broader scope, as it includes not only reclaimed products but also their packaging materials. The BRSR concept is a specific subset of the GRI concept.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.85,
  ""relationship"": ""narrowerMatch"",
  ""reason"": ""The proposed mapping is supported by the lexical, embedding, and hierarchical similarity scores. The GRI concept is more general and encompasses a broader scope, as it includes not only reclaimed products but also their packaging materials. The BRSR concept is a specific subset of the GRI concept.""
}",0.5022,0.17,0.5,0.3907,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 39.6%.,"Verified alignment for Disclosure_Q5_6360320180423613439 <-> Disclosure_Disclosure_301_3_Reclaimed_products_and_their_pack with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_6_Scope_2_GHG_emissions,narrowMatch,0.3616,Accepted,Agree,0.85,narrowerMatch,"The proposed mapping is supported by the automated evidence, particularly the lexical score, embedding similarity, and hierarchical relationship. The BRSR concept is more general, covering both Scope 1 and Scope 2 emissions, while the GRI concept is more specific, focusing on Scope 2 emissions. The proposed SKOS relationship of 'narrowMatch' is appropriate given this context.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.85,
  ""relationship"": ""narrowerMatch"",
  ""reason"": ""The proposed mapping is supported by the automated evidence, particularly the lexical score, embedding similarity, and hierarchical relationship. The BRSR concept is more general, covering both Scope 1 and Scope 2 emissions, while the GRI concept is more specific, focusing on Scope 2 emissions. The proposed SKOS relationship of 'narrowMatch' is appropriate given this context.""
}",0.4302,0.17,0.5,0.3818,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 36.2%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_6_Scope_2_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_6_Scope_2_GHG_emissions_28,broadMatch,0.3542,Accepted,,0.0,,,"{
  ""decision"": ""Agree"",
  ""confidence"": 0.8,
  ""relationship"": ""broaderMatch"",
  ""reason"": ""The proposed mapping is supported by the automated evidence, particularly the lexical score, embedding similarity, and hierarchical relationship. The GRI concept (Disclosure 102-6 Scope 2 GHG emissions 28) is broader than the BRSR concept (6. Provide details of greenhouse gas emissions (Scope 1 and Scope 2 emissions)) as it includes the specific scope 2",0.4214,0.17,0.5,0.3722,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 35.4%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_6_Scope_2_GHG_emissions_28 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_5_Scope_1_GHG_emissions,narrowMatch,0.3283,Accepted,Agree,0.9,narrowerMatch,"The proposed mapping is supported by the automated evidence, particularly the lexical score, embedding similarity, and hierarchy similarity. The BRSR concept is more general, covering both Scope 1 and Scope 2 emissions, while the GRI concept is more specific, focusing on Scope 1 emissions. The proposed SKOS relationship of 'narrowMatch' is appropriate given this context.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.9,
  ""relationship"": ""narrowerMatch"",
  ""reason"": ""The proposed mapping is supported by the automated evidence, particularly the lexical score, embedding similarity, and hierarchy similarity. The BRSR concept is more general, covering both Scope 1 and Scope 2 emissions, while the GRI concept is more specific, focusing on Scope 1 emissions. The proposed SKOS relationship of 'narrowMatch' is appropriate given this context.""
}",0.3726,0.17,0.5,0.3589,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 32.8%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_5_Scope_1_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions,broadMatch,0.3294,Accepted,Agree,0.9,broadMatch,"The proposed mapping is supported by the automated evidence, particularly the lexical, embedding, and hierarchical similarity scores. However, the concepts are not exact matches due to differences in definition and context.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.9,
  ""relationship"": ""broadMatch"",
  ""reason"": ""The proposed mapping is supported by the automated evidence, particularly the lexical, embedding, and hierarchical similarity scores. However, the concepts are not exact matches due to differences in definition and context.""
}",0.3791,0.17,0.5,0.3545,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 32.9%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_5_Scope_1_GHG_emissions_25,broadMatch,0.3242,Accepted,Agree,0.8,broadMatch,"The proposed mapping is supported by the automated evidence, particularly the lexical score, embedding similarity, and hierarchical relationship. However, the concepts are not identical due to differences in scope and definition, hence a broadMatch is more appropriate.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.8,
  ""relationship"": ""broadMatch"",
  ""reason"": ""The proposed mapping is supported by the automated evidence, particularly the lexical score, embedding similarity, and hierarchical relationship. However, the concepts are not identical due to differences in scope and definition, hence a broadMatch is more appropriate.""
}",0.3697,0.17,0.5,0.3516,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 32.4%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_5_Scope_1_GHG_emissions_25 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions_9,broadMatch,0.3243,Accepted,,0.0,,,"{
  ""decision"": ""Agree"",
  ""confidence"": 0.9,
  ""relationship"": ""broaderMatch"",
  ""reason"": ""The proposed mapping is supported by the automated evidence, particularly the lexical score, embedding similarity, and hierarchical relationship. The GRI concept (Disclosure 305-1 Direct (Scope 1) GHG emissions 9) is broader than the BRSR concept (6. Provide details of greenhouse gas emissions (Scope 1 and Scope 2 emissions)) as it includes Scope 2",0.3705,0.17,0.5,0.3508,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 32.4%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions_9 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_2_Energy_indirect_Scope_2_GHG_emi,broadMatch,0.314,Accepted,Agree,0.8,broaderMatch,"The proposed mapping is reasonable given the lexical, structural, and hierarchical similarities between the concepts. However, the concepts are not exact matches due to differences in definition and context.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.8,
  ""relationship"": ""broaderMatch"",
  ""reason"": ""The proposed mapping is reasonable given the lexical, structural, and hierarchical similarities between the concepts. However, the concepts are not exact matches due to differences in definition and context.""
}",0.3538,0.17,0.5,0.3427,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 31.4%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_2_Energy_indirect_Scope_2_GHG_emi with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_7_Scope_3_GHG_emissions,narrowMatch,0.2998,Accepted,,0.0,,,"{
  ""decision"": ""Disagree"",
  ""confidence"": 0.3,
  ""relationship"": ""narrowerMatch"",
  ""reason"": ""Although there is some overlap in subject matter and scope, the proposed mapping underestimates the difference in breadth between the two concepts. The BRSR concept (Disclosure_Q6_-5688596556448572703) includes Scope 1 and Scope 2 emissions, while the GRI concept (Disclosure 102-7 S",0.3239,0.17,0.5,0.3389,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 30.0%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_7_Scope_3_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_305_5_Reduction_of_GHG_emissions,broadMatch,0.2975,Accepted,Disagree,0.0,noMatch,"The proposed mapping does not accurately reflect the semantic alignment between the two concepts. The BRSR concept is about air emissions (other than GHG emissions), while the GRI concept is specifically about Reduction of GHG emissions. The concepts have different scopes, subject matters, and hierarchical relationships, and are not related in a broader, narrower, or close match relationship.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.0,
  ""relationship"": ""noMatch"",
  ""reason"": ""The proposed mapping does not accurately reflect the semantic alignment between the two concepts. The BRSR concept is about air emissions (other than GHG emissions), while the GRI concept is specifically about Reduction of GHG emissions. The concepts have different scopes, subject matters, and hierarchical relationships, and are not related in a broader, narrower, or close match relationship.""
}",0.3234,0.17,0.5,0.3335,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 29.8%.,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_305_5_Reduction_of_GHG_emissions with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",['Low learned confidence score']
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_7_Scope_3_GHG_emissions_31,broadMatch,0.2982,Accepted,,0.0,,,"{
  ""decision"": ""Disagree"",
  ""confidence"": 0.3,
  ""relationship"": ""relatedMatch"",
  ""reason"": ""Although both concepts pertain to Greenhouse Gas Emissions, the proposed mapping is not accurate. The BRSR concept (Disclosure_Q6_-5688596556448572703) focuses on Scope 1 and Scope 2 emissions, while the GRI concept (Disclosure 102-7 Scope 3 GHG emissions 31",0.3253,0.17,0.5,0.3332,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 29.8%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_7_Scope_3_GHG_emissions_31 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_102_5_Scope_1_GHG_emissions,narrowMatch,0.2906,Accepted,Disagree,0.3,narrowerMatch,"The proposed mapping suggests a narrower relationship, but the concepts are not strictly equivalent. The BRSR concept is broader as it includes air emissions other than GHG emissions, while the GRI concept is specifically focused on Scope 1 GHG emissions. The lexical, embedding, and context similarity scores support this conclusion, but the hierarchy and relationship similarity scores are low.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.3,
  ""relationship"": ""narrowerMatch"",
  ""reason"": ""The proposed mapping suggests a narrower relationship, but the concepts are not strictly equivalent. The BRSR concept is broader as it includes air emissions other than GHG emissions, while the GRI concept is specifically focused on Scope 1 GHG emissions. The lexical, embedding, and context similarity scores support this conclusion, but the hierarchy and relationship similarity scores are low.""
}",0.3102,0.17,0.5,0.3303,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 29.1%.,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_102_5_Scope_1_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",['Low learned confidence score']
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_8_GHG_emissions_intensity,narrowMatch,0.2906,Accepted,,0.0,,,"{
  ""decision"": ""Disagree"",
  ""confidence"": 0.6,
  ""relationship"": ""narrowerMatch"",
  ""reason"": ""The proposed mapping suggests a narrowMatch, but the lexical, embedding, and context similarity scores are relatively low, indicating a less than exact match. The GRI concept is more specific, focusing on GHG emissions intensity, while the BRSR concept includes both Scope 1 and Scope 2 emissions, which is a broader scope. The proposed SKOS relationship of 'narrowMatch' is more appropriate in",0.3123,0.17,0.5,0.3278,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 29.1%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_8_GHG_emissions_intensity with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",['Low learned confidence score']
Disclosure_Q3_7691261722040331206,Disclosure_Disclosure_301_2_Recycled_input_materials_used,broadMatch,0.2982,Accepted,Agree,0.8,broadMatch,"Both concepts refer to the use of recycled or reused materials, but the BRSR concept is more specific in terms of the percentage of recycled or reused material to total material (by value). The GRI concept is broader as it does not specify the percentage or the value-based measurement.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.8,
  ""relationship"": ""broadMatch"",
  ""reason"": ""Both concepts refer to the use of recycled or reused materials, but the BRSR concept is more specific in terms of the percentage of recycled or reused material to total material (by value). The GRI concept is broader as it does not specify the percentage or the value-based measurement.""
}",0.331,0.17,0.5,0.3267,huggingface,mistralai/Mistral-7B-Instruct-v0.3,Evaluated with model 'mistralai/Mistral-7B-Instruct-v0.3' (huggingface); learned weighted confidence 29.8%.,"Verified alignment for Disclosure_Q3_7691261722040331206 <-> Disclosure_Disclosure_301_2_Recycled_input_materials_used with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",['Low learned confidence score']
