id:ID,label:LABEL,name,concept,value,normalized_value,value_type,unit_ref,source_file,dimensions,description
Category_Environmental,Category,Environmental,,,,,,,,
Category_Social,Category,Social,,,,,,,,
Category_Governance,Category,Governance,,,,,,,,
Category_Other,Category,Other,,,,,,,,
Standard_BRSR,Standard,BRSR,,,,,,,,
Standard_GRI,Standard,GRI,,,,,,,,
Standard_SASB,Standard,SASB,,,,,,,,
Standard_ESRS,Standard,ESRS,,,,,,,,
Standard_ISSB,Standard,ISSB,,,,,,,,
Scope1Emission,ESGMetric;CanonicalConcept,Scope1Emission,,,,,,,,Direct greenhouse gas emissions from sources owned or controlled by the organization.
Scope2Emission,ESGMetric;CanonicalConcept,Scope2Emission,,,,,,,,"Indirect greenhouse gas emissions from the generation of purchased electricity, heating, cooling, or steam consumed by the organization."
RenewableEnergy,ESGMetric;CanonicalConcept,RenewableEnergy,,,,,,,,"Total energy consumed from renewable sources such as solar, wind, hydro, biomass, and geothermal."
WaterWithdrawal,ESGMetric;CanonicalConcept,WaterWithdrawal,,,,,,,,"Total volume of water drawn from all sources (surface water, groundwater, seawater, or third-party water) for consumption or operations."
WasteGenerated,ESGMetric;CanonicalConcept,WasteGenerated,,,,,,,,"Total amount of all waste generated by operations, including hazardous and non-hazardous wastes."
WomenEmployees,ESGMetric;CanonicalConcept,WomenEmployees,,,,,,,,Total number or percentage of women employees and workers within the organization.
BoardIndependence,ESGMetric;CanonicalConcept,BoardIndependence,,,,,,,,"Metrics indicating the composition of the board, independence level, and oversight capabilities (including gender diversity as proxy)."
CSRSpending,ESGMetric;CanonicalConcept,CSRSpending,,,,,,,,Total monetary amount spent on Corporate Social Responsibility (CSR) projects and community investments.
Framework_GRI_DirectGHGEmissions,ESGMetric;FrameworkTag,DirectGHGEmissions,,,,,,,,
Framework_GRI_EnergyIndirectGHGEmissions,ESGMetric;FrameworkTag,EnergyIndirectGHGEmissions,,,,,,,,
Framework_GRI_RenewableEnergyConsumption,ESGMetric;FrameworkTag,RenewableEnergyConsumption,,,,,,,,
Framework_GRI_WaterWithdrawalBySource,ESGMetric;FrameworkTag,WaterWithdrawalBySource,,,,,,,,
Framework_GRI_WasteGenerated,ESGMetric;FrameworkTag,WasteGenerated,,,,,,,,
Framework_GRI_DiversityOfEmployees,ESGMetric;FrameworkTag,DiversityOfEmployees,,,,,,,,
Framework_GRI_GovernanceStructureAndComposition,ESGMetric;FrameworkTag,GovernanceStructureAndComposition,,,,,,,,
Framework_GRI_DirectEconomicValueDistributed,ESGMetric;FrameworkTag,DirectEconomicValueDistributed,,,,,,,,
Framework_SASB_GrossScope1Emissions,ESGMetric;FrameworkTag,GrossScope1Emissions,,,,,,,,
Framework_SASB_GrossScope2Emissions,ESGMetric;FrameworkTag,GrossScope2Emissions,,,,,,,,
Framework_SASB_RenewableEnergyConsumed,ESGMetric;FrameworkTag,RenewableEnergyConsumed,,,,,,,,
Framework_SASB_TotalWaterWithdrawn,ESGMetric;FrameworkTag,TotalWaterWithdrawn,,,,,,,,
Framework_SASB_TotalAmountOfWaste,ESGMetric;FrameworkTag,TotalAmountOfWaste,,,,,,,,
Framework_SASB_GenderDiversityPercentage,ESGMetric;FrameworkTag,GenderDiversityPercentage,,,,,,,,
Framework_SASB_BoardIndependencePercentage,ESGMetric;FrameworkTag,BoardIndependencePercentage,,,,,,,,
Framework_SASB_CommunityInvestments,ESGMetric;FrameworkTag,CommunityInvestments,,,,,,,,
Framework_ESRS_ESRS E1-6 Scope 1 GHG Emissions,ESGMetric;FrameworkTag,ESRS E1-6 Scope 1 GHG Emissions,,,,,,,,
Framework_ESRS_ESRS E1-6 Scope 2 GHG Emissions,ESGMetric;FrameworkTag,ESRS E1-6 Scope 2 GHG Emissions,,,,,,,,
Framework_ESRS_ESRS E1-5 Renewable Energy Consumption,ESGMetric;FrameworkTag,ESRS E1-5 Renewable Energy Consumption,,,,,,,,
Framework_ESRS_ESRS E3-1 Water Withdrawal,ESGMetric;FrameworkTag,ESRS E3-1 Water Withdrawal,,,,,,,,
Framework_ESRS_ESRS E5-5 Waste Generated,ESGMetric;FrameworkTag,ESRS E5-5 Waste Generated,,,,,,,,
Framework_ESRS_ESRS S1-9 Gender Diversity,ESGMetric;FrameworkTag,ESRS S1-9 Gender Diversity,,,,,,,,
Framework_ESRS_ESRS G1-1 Board Composition,ESGMetric;FrameworkTag,ESRS G1-1 Board Composition,,,,,,,,
Framework_ESRS_ESRS S3 CSR Activities,ESGMetric;FrameworkTag,ESRS S3 CSR Activities,,,,,,,,
Framework_ISSB_ISSB S2 Scope 1 GHG Emissions,ESGMetric;FrameworkTag,ISSB S2 Scope 1 GHG Emissions,,,,,,,,
Framework_ISSB_ISSB S2 Scope 2 GHG Emissions,ESGMetric;FrameworkTag,ISSB S2 Scope 2 GHG Emissions,,,,,,,,
Framework_ISSB_ISSB S2 Renewable Energy Percentage,ESGMetric;FrameworkTag,ISSB S2 Renewable Energy Percentage,,,,,,,,
Framework_ISSB_ISSB S1 Water Security Disclosures,ESGMetric;FrameworkTag,ISSB S1 Water Security Disclosures,,,,,,,,
Framework_ISSB_ISSB S1 Circularity Disclosures,ESGMetric;FrameworkTag,ISSB S1 Circularity Disclosures,,,,,,,,
Framework_ISSB_ISSB S1 Diversity Metrics,ESGMetric;FrameworkTag,ISSB S1 Diversity Metrics,,,,,,,,
Framework_ISSB_ISSB S1 Governance Disclosures,ESGMetric;FrameworkTag,ISSB S1 Governance Disclosures,,,,,,,,
Framework_ISSB_ISSB S1 Economic Disclosures,ESGMetric;FrameworkTag,ISSB S1 Economic Disclosures,,,,,,,,
RELIANCE,Company,Reliance Industries Limited,,,,,,,,
Year_2025,Year,2025,,,,,,,,
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_8d27423fc9be,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,19691709,19691709,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken1""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_6744ba632cc6,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,5107469,5107469,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken2""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_30e9d1d85621,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,3767467,3767467,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken3""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_56a5e9386f13,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,412436,412436,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken4""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ba341462769f,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,184058,184058,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken5""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cbcc5e19e005,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,94244,94244,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken6""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9ad4cedbd456,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,412436,412436,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken7""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_f46f9d6b8ac3,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,1025803,1025803,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken8""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_d2f2951d55ca,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,243232,243232,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken9""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_b32048f435b4,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,1501690,1501690,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken10""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_a4b3a1711546,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,2555926,2555926,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken11""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9a340dfc6923,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,4302187,4302187,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken12""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_c57dd2a2b78d,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,208059,208059,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken13""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_05925b991e2e,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,208059,208059,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken14""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_c74b0f9d1235,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,2496607,2496607,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken15""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cb0cb35eba5e,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,967474,967474,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken16""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_fcec295bd1c7,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,3958002,3958002,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken17""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ccb492413380,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,501333,501333,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken18""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_4f3150eac24b,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,1782586,1782586,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken19""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_106db6e600b1,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,52876,52876,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken20""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_b18c84428363,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,507614,507614,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken21""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_44ae316feeab,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,52015,52015,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken22""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_239913a3925c,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,507649,507649,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken23""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_7ac17790c0b2,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,204626,204626,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken24""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_f029919acc60,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,255782,255782,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken25""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_375f9f97476e,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,124835,124835,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken26""}",
