brsr_id,target_id,mapping,confidence,verification,llm_decision,llm_confidence,llm_relationship,llm_reason,llm_raw_response,lexical_score,structural_score,property_score,embedding_score,eval_provider,eval_model,reasoning,explanation,issues
Disclosure_Q10_-4902536702272193205,Disclosure_Disclosure_403_1_Occupational_health_and_safety_ma,broadMatch,0.4607,Accepted,Disagree,0.8,relatedMatch,"The concepts cover similar areas but differ in scope and specificity. BRSR focuses on health and safety management systems broadly, while GRI specifically targets occupational health and safety management systems.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.8,
  ""relationship"": ""relatedMatch"",
  ""reason"": ""The concepts cover similar areas but differ in scope and specificity. BRSR focuses on health and safety management systems broadly, while GRI specifically targets occupational health and safety management systems.""
}",0.6092,0.17,0.5,0.4406,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 46.1%.,"Verified alignment for Disclosure_Q10_-4902536702272193205 <-> Disclosure_Disclosure_403_1_Occupational_health_and_safety_ma with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q10_-4902536702272193205,Disclosure_Disclosure_403_8_Workers_covered_by_an_occupationa,broadMatch,0.3908,Accepted,Disagree,0.7,relatedMatch,"The BRSR concept focuses on the overall health and safety management system, while the GRI concept specifically addresses workers covered by such a system. They are related but not hierarchically aligned.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.7,
  ""relationship"": ""relatedMatch"",
  ""reason"": ""The BRSR concept focuses on the overall health and safety management system, while the GRI concept specifically addresses workers covered by such a system. They are related but not hierarchically aligned.""
}",0.49,0.17,0.5,0.3912,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 39.1%.,"Verified alignment for Disclosure_Q10_-4902536702272193205 <-> Disclosure_Disclosure_403_8_Workers_covered_by_an_occupationa with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q5_6360320180423613439,Disclosure_Disclosure_301_3_Reclaimed_products_and_their_pack,narrowMatch,0.3959,Accepted,Agree,0.8,closeMatch,"Both concepts refer to reclaimed products and packaging materials, indicating a high degree of similarity in subject matter and scope. However, they may differ slightly in specific requirements or reporting details, which prevents them from being considered an exact match.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.8,
  ""relationship"": ""closeMatch"",
  ""reason"": ""Both concepts refer to reclaimed products and packaging materials, indicating a high degree of similarity in subject matter and scope. However, they may differ slightly in specific requirements or reporting details, which prevents them from being considered an exact match.""
}",0.5022,0.17,0.5,0.3907,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 39.6%.,"Verified alignment for Disclosure_Q5_6360320180423613439 <-> Disclosure_Disclosure_301_3_Reclaimed_products_and_their_pack with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_6_Scope_2_GHG_emissions,narrowMatch,0.3616,Accepted,Disagree,0.3,relatedMatch,"The BRSR concept covers both Scope 1 and Scope 2 emissions, while the GRI concept specifically addresses only Scope 2 emissions. The concepts are related but not a narrower or broader match.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.3,
  ""relationship"": ""relatedMatch"",
  ""reason"": ""The BRSR concept covers both Scope 1 and Scope 2 emissions, while the GRI concept specifically addresses only Scope 2 emissions. The concepts are related but not a narrower or broader match.""
}",0.4302,0.17,0.5,0.3818,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 36.2%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_6_Scope_2_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_6_Scope_2_GHG_emissions_28,broadMatch,0.3542,Accepted,Disagree,0.3,relatedMatch,"The BRSR concept covers both Scope 1 and Scope 2 emissions, while the GRI concept specifically addresses Scope 2 GHG emissions only.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.3,
  ""relationship"": ""relatedMatch"",
  ""reason"": ""The BRSR concept covers both Scope 1 and Scope 2 emissions, while the GRI concept specifically addresses Scope 2 GHG emissions only.""
}",0.4214,0.17,0.5,0.3722,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 35.4%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_6_Scope_2_GHG_emissions_28 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_5_Scope_1_GHG_emissions,narrowMatch,0.3283,Accepted,Disagree,0.2,relatedMatch,"The BRSR concept covers both Scope 1 and Scope 2 GHG emissions, while the GRI concept only addresses Scope 1 GHG emissions. Therefore, the proposed narrowerMatch relationship is inappropriate.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.2,
  ""relationship"": ""relatedMatch"",
  ""reason"": ""The BRSR concept covers both Scope 1 and Scope 2 GHG emissions, while the GRI concept only addresses Scope 1 GHG emissions. Therefore, the proposed narrowerMatch relationship is inappropriate.""
}",0.3726,0.17,0.5,0.3589,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 32.8%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_5_Scope_1_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions,broadMatch,0.3294,Accepted,Disagree,0.2,relatedMatch,"The BRSR concept covers both Scope 1 and Scope 2 emissions, while the GRI concept only addresses Scope 1 emissions. The proposed broaderMatch relationship does not accurately reflect the partial overlap in subject matter.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.2,
  ""relationship"": ""relatedMatch"",
  ""reason"": ""The BRSR concept covers both Scope 1 and Scope 2 emissions, while the GRI concept only addresses Scope 1 emissions. The proposed broaderMatch relationship does not accurately reflect the partial overlap in subject matter.""
}",0.3791,0.17,0.5,0.3545,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 32.9%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_5_Scope_1_GHG_emissions_25,broadMatch,0.3242,Accepted,Disagree,0.2,relatedMatch,"The BRSR concept covers both Scope 1 and Scope 2 emissions, while the GRI concept only addresses Scope 1 emissions. They are related but not a broader or narrower match.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.2,
  ""relationship"": ""relatedMatch"",
  ""reason"": ""The BRSR concept covers both Scope 1 and Scope 2 emissions, while the GRI concept only addresses Scope 1 emissions. They are related but not a broader or narrower match.""
}",0.3697,0.17,0.5,0.3516,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 32.4%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_5_Scope_1_GHG_emissions_25 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions_9,broadMatch,0.3243,Accepted,Disagree,0.2,relatedMatch,"The BRSR concept covers both Scope 1 and Scope 2 emissions, while the GRI concept only addresses Scope 1 emissions. The proposed broaderMatch relationship does not accurately reflect their relationship.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.2,
  ""relationship"": ""relatedMatch"",
  ""reason"": ""The BRSR concept covers both Scope 1 and Scope 2 emissions, while the GRI concept only addresses Scope 1 emissions. The proposed broaderMatch relationship does not accurately reflect their relationship.""
}",0.3705,0.17,0.5,0.3508,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 32.4%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions_9 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_2_Energy_indirect_Scope_2_GHG_emi,broadMatch,0.314,Accepted,Disagree,0.3,relatedMatch,"The BRSR concept covers both Scope 1 and Scope 2 emissions, while the GRI concept only addresses Scope 2 emissions. They are related but not a broader or narrower match.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.3,
  ""relationship"": ""relatedMatch"",
  ""reason"": ""The BRSR concept covers both Scope 1 and Scope 2 emissions, while the GRI concept only addresses Scope 2 emissions. They are related but not a broader or narrower match.""
}",0.3538,0.17,0.5,0.3427,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 31.4%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_2_Energy_indirect_Scope_2_GHG_emi with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_7_Scope_3_GHG_emissions,narrowMatch,0.2998,Accepted,Disagree,0.2,noMatch,"The BRSR concept focuses on Scope 1 and Scope 2 emissions, while the GRI concept specifically addresses Scope 3 emissions. These scopes are distinct and not interchangeable.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.2,
  ""relationship"": ""noMatch"",
  ""reason"": ""The BRSR concept focuses on Scope 1 and Scope 2 emissions, while the GRI concept specifically addresses Scope 3 emissions. These scopes are distinct and not interchangeable.""
}",0.3239,0.17,0.5,0.3389,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 30.0%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_7_Scope_3_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_305_5_Reduction_of_GHG_emissions,broadMatch,0.2975,Accepted,Disagree,0.85,noMatch,"The BRSR concept focuses on air emissions excluding GHG emissions, while the GRI concept specifically addresses the reduction of GHG emissions. These concepts have different scopes and subject matters.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.85,
  ""relationship"": ""noMatch"",
  ""reason"": ""The BRSR concept focuses on air emissions excluding GHG emissions, while the GRI concept specifically addresses the reduction of GHG emissions. These concepts have different scopes and subject matters.""
}",0.3234,0.17,0.5,0.3335,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 29.8%.,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_305_5_Reduction_of_GHG_emissions with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",['Low learned confidence score']
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_7_Scope_3_GHG_emissions_31,broadMatch,0.2982,Accepted,Disagree,0.2,noMatch,"The BRSR concept focuses on Scope 1 and Scope 2 emissions, while the GRI concept specifically addresses Scope 3 emissions. These scopes are distinct and not interchangeable.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.2,
  ""relationship"": ""noMatch"",
  ""reason"": ""The BRSR concept focuses on Scope 1 and Scope 2 emissions, while the GRI concept specifically addresses Scope 3 emissions. These scopes are distinct and not interchangeable.""
}",0.3253,0.17,0.5,0.3332,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 29.8%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_7_Scope_3_GHG_emissions_31 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_102_5_Scope_1_GHG_emissions,narrowMatch,0.2906,Accepted,Disagree,0.8,noMatch,"The BRSR concept pertains to air emissions excluding GHG emissions, while the GRI concept specifically addresses Scope 1 GHG emissions. These concepts have different scopes and subject matters.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.8,
  ""relationship"": ""noMatch"",
  ""reason"": ""The BRSR concept pertains to air emissions excluding GHG emissions, while the GRI concept specifically addresses Scope 1 GHG emissions. These concepts have different scopes and subject matters.""
}",0.3102,0.17,0.5,0.3303,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 29.1%.,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_102_5_Scope_1_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",['Low learned confidence score']
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_8_GHG_emissions_intensity,narrowMatch,0.2906,Accepted,Disagree,0.2,relatedMatch,"The BRSR concept focuses on providing details of greenhouse gas emissions (Scope 1 and Scope 2), while the GRI concept is about GHG emissions intensity. Although both relate to GHG emissions, they differ in scope and subject matter.","{
  ""decision"": ""Disagree"",
  ""confidence"": 0.2,
  ""relationship"": ""relatedMatch"",
  ""reason"": ""The BRSR concept focuses on providing details of greenhouse gas emissions (Scope 1 and Scope 2), while the GRI concept is about GHG emissions intensity. Although both relate to GHG emissions, they differ in scope and subject matter.""
}",0.3123,0.17,0.5,0.3278,huggingface,Qwen/Qwen2.5-14B-Instruct,Evaluated with model 'Qwen/Qwen2.5-14B-Instruct' (huggingface); learned weighted confidence 29.1%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_8_GHG_emissions_intensity with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",['Low learned confidence score']
