brsr_id,target_id,mapping,confidence,verification,eval_provider,eval_model,reasoning,explanation,issues
Disclosure_Q10_-4902536702272193205,Disclosure_Disclosure_403_1_Occupational_health_and_safety_ma,broadMatch,0.4607,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 46.1%,"Verified alignment for Disclosure_Q10_-4902536702272193205 <-> Disclosure_Disclosure_403_1_Occupational_health_and_safety_ma with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",[]
Disclosure_Q10_-4902536702272193205,Disclosure_Disclosure_403_8_Workers_covered_by_an_occupationa,broadMatch,0.3908,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 39.1%,"Verified alignment for Disclosure_Q10_-4902536702272193205 <-> Disclosure_Disclosure_403_8_Workers_covered_by_an_occupationa with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",[]
Disclosure_Q5_6360320180423613439,Disclosure_Disclosure_301_3_Reclaimed_products_and_their_pack,narrowMatch,0.3959,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 39.6%,"Verified alignment for Disclosure_Q5_6360320180423613439 <-> Disclosure_Disclosure_301_3_Reclaimed_products_and_their_pack with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_6_Scope_2_GHG_emissions,narrowMatch,0.3616,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 36.2%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_6_Scope_2_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_6_Scope_2_GHG_emissions_28,broadMatch,0.3542,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 35.4%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_6_Scope_2_GHG_emissions_28 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_5_Scope_1_GHG_emissions,narrowMatch,0.3283,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 32.8%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_5_Scope_1_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions,broadMatch,0.3294,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 32.9%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_5_Scope_1_GHG_emissions_25,broadMatch,0.3242,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 32.4%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_5_Scope_1_GHG_emissions_25 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions_9,broadMatch,0.3243,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 32.4%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions_9 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_2_Energy_indirect_Scope_2_GHG_emi,broadMatch,0.314,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 31.4%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_2_Energy_indirect_Scope_2_GHG_emi with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",[]
