brsr_id,target_id,mapping,confidence,verification,llm_decision,llm_confidence,llm_relationship,llm_reason,llm_raw_response,lexical_score,structural_score,property_score,embedding_score,eval_provider,eval_model,reasoning,explanation,issues
Disclosure_Q10_-4902536702272193205,Disclosure_Disclosure_403_1_Occupational_health_and_safety_ma,broadMatch,0.4607,Accepted,Agree,0.9,exactMatch,"The BRSR concept 'Health and safety management system' and the GRI concept 'Occupational health and safety management system' have essentially the same meaning and scope, both referring to the management of health and safety in the workplace.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.9,
  ""relationship"": ""exactMatch"",
  ""reason"": ""The BRSR concept 'Health and safety management system' and the GRI concept 'Occupational health and safety management system' have essentially the same meaning and scope, both referring to the management of health and safety in the workplace.""
}",0.6092,0.17,0.5,0.4406,huggingface,meta-llama/Llama-3.1-70B-Instruct,Evaluated with model 'meta-llama/Llama-3.1-70B-Instruct' (huggingface); learned weighted confidence 46.1%.,"Verified alignment for Disclosure_Q10_-4902536702272193205 <-> Disclosure_Disclosure_403_1_Occupational_health_and_safety_ma with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q10_-4902536702272193205,Disclosure_Disclosure_403_8_Workers_covered_by_an_occupationa,broadMatch,0.3908,Accepted,Agree,0.8,closeMatch,"The BRSR concept 'Health and safety management system' and the GRI concept 'Workers covered by an occupational health and safety management system' are highly similar, but the GRI concept is more specific in its focus on workers covered by the system.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.8,
  ""relationship"": ""closeMatch"",
  ""reason"": ""The BRSR concept 'Health and safety management system' and the GRI concept 'Workers covered by an occupational health and safety management system' are highly similar, but the GRI concept is more specific in its focus on workers covered by the system.""
}",0.49,0.17,0.5,0.3912,huggingface,meta-llama/Llama-3.1-70B-Instruct,Evaluated with model 'meta-llama/Llama-3.1-70B-Instruct' (huggingface); learned weighted confidence 39.1%.,"Verified alignment for Disclosure_Q10_-4902536702272193205 <-> Disclosure_Disclosure_403_8_Workers_covered_by_an_occupationa with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q5_6360320180423613439,Disclosure_Disclosure_301_3_Reclaimed_products_and_their_pack,narrowMatch,0.3959,Accepted,Agree,0.9,exactMatch,"The BRSR and GRI concepts have essentially the same meaning and scope, referring to the percentage of reclaimed products and their packaging materials.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.9,
  ""relationship"": ""exactMatch"",
  ""reason"": ""The BRSR and GRI concepts have essentially the same meaning and scope, referring to the percentage of reclaimed products and their packaging materials.""
}",0.5022,0.17,0.5,0.3907,huggingface,meta-llama/Llama-3.1-70B-Instruct,Evaluated with model 'meta-llama/Llama-3.1-70B-Instruct' (huggingface); learned weighted confidence 39.6%.,"Verified alignment for Disclosure_Q5_6360320180423613439 <-> Disclosure_Disclosure_301_3_Reclaimed_products_and_their_pack with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_6_Scope_2_GHG_emissions,narrowMatch,0.3616,Accepted,Agree,0.8,narrowerMatch,"The BRSR concept requires details of both Scope 1 and Scope 2 emissions, while the GRI concept specifically focuses on Scope 2 GHG emissions, making the GRI concept narrower in scope.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.8,
  ""relationship"": ""narrowerMatch"",
  ""reason"": ""The BRSR concept requires details of both Scope 1 and Scope 2 emissions, while the GRI concept specifically focuses on Scope 2 GHG emissions, making the GRI concept narrower in scope.""
}",0.4302,0.17,0.5,0.3818,huggingface,meta-llama/Llama-3.1-70B-Instruct,Evaluated with model 'meta-llama/Llama-3.1-70B-Instruct' (huggingface); learned weighted confidence 36.2%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_6_Scope_2_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_6_Scope_2_GHG_emissions_28,broadMatch,0.3542,Accepted,Agree,0.8,closeMatch,"The BRSR concept and GRI concept both relate to greenhouse gas emissions, specifically Scope 1 and Scope 2 emissions, but the GRI concept is more specific to Scope 2 GHG emissions.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.8,
  ""relationship"": ""closeMatch"",
  ""reason"": ""The BRSR concept and GRI concept both relate to greenhouse gas emissions, specifically Scope 1 and Scope 2 emissions, but the GRI concept is more specific to Scope 2 GHG emissions.""
}",0.4214,0.17,0.5,0.3722,huggingface,meta-llama/Llama-3.1-70B-Instruct,Evaluated with model 'meta-llama/Llama-3.1-70B-Instruct' (huggingface); learned weighted confidence 35.4%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_6_Scope_2_GHG_emissions_28 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_5_Scope_1_GHG_emissions,narrowMatch,0.3283,Accepted,Agree,0.9,narrowerMatch,"The BRSR concept requires details of both Scope 1 and Scope 2 emissions, while the GRI concept specifically asks for Scope 1 GHG emissions, making the GRI concept narrower in scope.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.9,
  ""relationship"": ""narrowerMatch"",
  ""reason"": ""The BRSR concept requires details of both Scope 1 and Scope 2 emissions, while the GRI concept specifically asks for Scope 1 GHG emissions, making the GRI concept narrower in scope.""
}",0.3726,0.17,0.5,0.3589,huggingface,meta-llama/Llama-3.1-70B-Instruct,Evaluated with model 'meta-llama/Llama-3.1-70B-Instruct' (huggingface); learned weighted confidence 32.8%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_5_Scope_1_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions,broadMatch,0.3294,Accepted,Agree,0.8,closeMatch,"The BRSR concept and GRI concept both relate to greenhouse gas emissions, but the BRSR concept includes Scope 1 and Scope 2 emissions, while the GRI concept only specifies Scope 1. The proposed SKOS relationship of broadMatch is not entirely accurate, but the concepts are highly similar.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.8,
  ""relationship"": ""closeMatch"",
  ""reason"": ""The BRSR concept and GRI concept both relate to greenhouse gas emissions, but the BRSR concept includes Scope 1 and Scope 2 emissions, while the GRI concept only specifies Scope 1. The proposed SKOS relationship of broadMatch is not entirely accurate, but the concepts are highly similar.""
}",0.3791,0.17,0.5,0.3545,huggingface,meta-llama/Llama-3.1-70B-Instruct,Evaluated with model 'meta-llama/Llama-3.1-70B-Instruct' (huggingface); learned weighted confidence 32.9%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_5_Scope_1_GHG_emissions_25,broadMatch,0.3242,Accepted,Agree,0.8,closeMatch,"The BRSR concept and GRI concept both relate to Scope 1 greenhouse gas emissions, but the GRI concept is more specific in its reference to '102-5' and '25', indicating a close but not exact match.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.8,
  ""relationship"": ""closeMatch"",
  ""reason"": ""The BRSR concept and GRI concept both relate to Scope 1 greenhouse gas emissions, but the GRI concept is more specific in its reference to '102-5' and '25', indicating a close but not exact match.""
}",0.3697,0.17,0.5,0.3516,huggingface,meta-llama/Llama-3.1-70B-Instruct,Evaluated with model 'meta-llama/Llama-3.1-70B-Instruct' (huggingface); learned weighted confidence 32.4%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_5_Scope_1_GHG_emissions_25 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions_9,broadMatch,0.3243,Accepted,Agree,0.8,closeMatch,"The BRSR concept and GRI concept both relate to greenhouse gas emissions, specifically Scope 1 emissions, but the GRI concept is more specific in its focus on 'Direct' emissions.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.8,
  ""relationship"": ""closeMatch"",
  ""reason"": ""The BRSR concept and GRI concept both relate to greenhouse gas emissions, specifically Scope 1 emissions, but the GRI concept is more specific in its focus on 'Direct' emissions.""
}",0.3705,0.17,0.5,0.3508,huggingface,meta-llama/Llama-3.1-70B-Instruct,Evaluated with model 'meta-llama/Llama-3.1-70B-Instruct' (huggingface); learned weighted confidence 32.4%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_1_Direct_Scope_1_GHG_emissions_9 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_2_Energy_indirect_Scope_2_GHG_emi,broadMatch,0.314,Accepted,Agree,0.8,closeMatch,"The BRSR concept and GRI concept both relate to greenhouse gas emissions, but the BRSR concept is broader as it includes both Scope 1 and Scope 2 emissions, while the GRI concept is more specific to Scope 2 emissions.","{
  ""decision"": ""Agree"",
  ""confidence"": 0.8,
  ""relationship"": ""closeMatch"",
  ""reason"": ""The BRSR concept and GRI concept both relate to greenhouse gas emissions, but the BRSR concept is broader as it includes both Scope 1 and Scope 2 emissions, while the GRI concept is more specific to Scope 2 emissions.""
}",0.3538,0.17,0.5,0.3427,huggingface,meta-llama/Llama-3.1-70B-Instruct,Evaluated with model 'meta-llama/Llama-3.1-70B-Instruct' (huggingface); learned weighted confidence 31.4%.,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_2_Energy_indirect_Scope_2_GHG_emi with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}.",[]
