brsr_id,gri_id,mapping_type,confidence,reasoning,explanation,model,response_time_sec,prompt_tokens,eval_tokens,total_tokens
Q17,"Disclosure 2-6 Activities, value chain and other b",Close Match,0.8,"Disclosure 2-6 Activities, value chain and other business relationships is closely related to the BRSR requirement Q17, as it involves describing the entity's activities and value chain, which indirectly relates to the markets served by the entity.","Although Disclosure 2-6 does not directly ask for the number of locations, it is a broader disclosure that encompasses the entity's activities and value chain, making it a close match for Q17.",llama-3.1-8b-instant,0.64,548,142,690
Q18,Disclosure 2-7 Employees,Exact Match,1.0,"Disclosure 2-7 Employees has an exact match with the BRSR requirement, covering all employees who perform work for the organization.","The BRSR requirement specifically asks for details about employees and workers, including differently abled, which is exactly what Disclosure 2-7 Employees covers.",llama-3.1-8b-instant,0.91,583,115,698
S.,None,No Match,0.0,BRSR S does not match any of the provided GRI disclosure IDs.,The BRSR S does not provide enough information to map it to a specific GRI disclosure ID.,llama-3.1-8b-instant,0.461,459,88,547
S.,None,No Match,0.0,None of the provided GRI disclosures match the BRSR requirement S.,The BRSR requirement S does not align with any of the provided GRI disclosure topics or summaries.,llama-3.1-8b-instant,0.35,459,87,546
Q19,2. Topic disclosures 8,Narrow Match,0.8,"Both BRSR Q19 and GRI 2. Topic disclosures 8 focus on governance structure and composition, but GRI 2.8 specifically addresses gender diversity and representation.","Although GRI 2.8 is not exclusively focused on women's participation, it is the closest match among the candidates due to its emphasis on gender diversity and representation within the governance structure.",llama-3.1-8b-instant,0.449,475,133,608
Q22,None,No Match,0.0,"None of the provided GRI disclosures match the BRSR requirement, which is focused on CSR applicability and financial metrics.","The BRSR requirement is focused on CSR applicability and financial metrics, whereas the provided GRI disclosures are related to employment, compensation, and policy commitments.",llama-3.1-8b-instant,0.601,610,109,719
Q23,Disclosure 2-16 Communication of critical concerns,Close Match,0.8,"Disclosure 2-16 focuses on communication of critical concerns, which aligns with the BRSR requirement of complaints/grievances on responsible business conduct principles.","While not an exact match, Disclosure 2-16 is the closest match as it deals with communication of concerns, which is related to handling complaints and grievances.",llama-3.1-8b-instant,0.397,651,122,773
Q24,Disclosure 3-1 Process to determine material topic,Close Match,0.8,"Both BRSR Q24 and GRI 3-1 involve the process of determining material topics, but BRSR Q24 focuses on responsible business conduct issues, which is a subset of material topics.","GRI 3-1 Process to determine material topics is the closest match as it involves identifying and prioritizing material topics, which is similar to the concept of material responsible business conduct issues in BRSR Q24.",llama-3.1-8b-instant,0.563,608,140,748
Q12,Disclosure 2-12 and Disclosure 2-13 in GRI 2 requi,Close Match,0.8,"Both BRSR Q12 and GRI 2-12 relate to governance and oversight, but BRSR Q12 specifically asks about policy coverage, whereas GRI 2-12 is more general about the role of the highest governance body.","Although not an exact match, GRI 2-12 is the closest match as it deals with governance and oversight, which is the core theme of BRSR Q12.",llama-3.1-8b-instant,0.583,554,140,694
P2_Q1,Disclosure 203-1 Infrastructure investments and se,Close Match,0.8,"While not an exact match, Disclosure 203-1 Infrastructure investments and services supported is the closest match as it deals with investments in specific areas, albeit not specifically R&D and capex.","Disclosure 203-1 is a close match because it requires reporting on infrastructure investments and services supported, which shares a thematic overlap with the BRSR requirement of reporting R&D and capex investments in specific technologies.",llama-3.1-8b-instant,8.965,614,140,754
P2_Q2,Disclosure 306-2 Management of significant waste-r,Close Match,0.8,"While Disclosure 306-2 is primarily focused on waste management, it also touches on the management of significant impacts, which aligns with the concept of sustainable sourcing. The guidance provided in the disclosure also emphasizes the importance of managing actual impacts, which is relevant to the BRSR requirement.","Although Disclosure 306-2 is not an exact match, it is the closest match among the provided candidates due to its focus on managing significant impacts, which is a key aspect of sustainable sourcing.",llama-3.1-8b-instant,0.548,607,153,760
P2_Q1,None,No Match,0.0,None of the provided GRI disclosures directly relate to conducting Life Cycle Perspective / Assessments (LCA).,"The BRSR requirement P2_Q1 specifically asks about conducting LCA, which is not directly addressed by any of the provided GRI disclosures.",llama-3.1-8b-instant,0.437,630,106,736
P2_Q2,Disclosure 201-2 Financial implications and other,Close Match,0.8,"Both BRSR P2_Q2 and GRI 201-2 focus on identifying and managing risks and opportunities, although GRI 201-2 specifically addresses climate change.","While GRI 201-2 is more specific to climate change, the core theme of identifying and managing risks and opportunities aligns closely with BRSR P2_Q2's focus on significant social or environmental concerns and/or risks.",llama-3.1-8b-instant,0.462,631,139,770
P2_Q3,Disclosure 301-2 Recycled input materials used 9,Exact Match,1.0,Both BRSR and GRI 301-2 focus on the percentage of recycled input materials used.,"The GRI 301-2 disclosure directly addresses the percentage of recycled input materials used, which aligns with the BRSR requirement P2_Q3.",llama-3.1-8b-instant,0.484,582,109,691
P2_Q4,Disclosure 301-3 Reclaimed products and their pack,Exact Match,1.0,"All three candidates 301-3 have the same disclosure content, focusing on reclaimed products and packaging materials.","The BRSR requirement P2_Q4 directly aligns with GRI 301-3, which measures the percentage of reclaimed products and packaging materials.",llama-3.1-8b-instant,0.375,603,108,711
P2_Q5,Disclosure 301-3 Reclaimed products and their pack,Exact Match,1.0,"All three candidates have the same disclosure ID and description, indicating a strong thematic overlap.","The BRSR requirement P2_Q5 is directly related to the GRI disclosure 301-3, which measures the percentage of reclaimed products and their packaging materials.",llama-3.1-8b-instant,0.404,556,107,663
P3_Q3,Disclosure 405-1 Diversity of governance bodies an,Narrow Match,0.8,"Although the BRSR requirement is about workplace accessibility, the closest related GRI disclosure is about diversity of governance bodies and employees, which indirectly relates to accessibility and inclusivity.","While the BRSR requirement is focused on physical accessibility of workplaces, the GRI disclosure on diversity of governance bodies and employees is more about inclusivity and representation, which is a related but distinct concept.",llama-3.1-8b-instant,0.614,577,141,718
P3_Q4,Disclosure 401-2 Benefits provided to full-time em,Close Match,0.8,"Both BRSR P3_Q4 and GRI 401-2 relate to employee benefits, but BRSR P3_Q4 specifically asks about equal opportunity policy, which is not explicitly mentioned in GRI 401-2. However, GRI 401-2 covers benefits provided to full-time employees, which might include equal opportunity policies.","While GRI 401-2 does not directly address equal opportunity policy, it is the closest match among the provided candidates, as it deals with employee benefits, which might encompass equal opportunity policies.",llama-3.1-8b-instant,0.612,582,166,748
P3_Q6,Disclosure 2-26 Mechanisms for seeking advice and,Exact Match,1.0,"Directly addresses mechanisms for seeking advice and raising concerns, which is closely related to receiving and redressing grievances.","GRI 2-26 Mechanisms for seeking advice and raising concerns is a direct match to the BRSR requirement P3_Q6, as it involves mechanisms for individuals to raise concerns, which is a key aspect of grievance redressal.",llama-3.1-8b-instant,0.534,572,132,704
P3_Q10,Disclosure 403-8 Workers covered by an occupationa,Exact Match,1.0,"Disclosure 403-8 directly addresses the reporting organization's occupational health and safety management system, which aligns with the BRSR requirement on health and safety management system.","The GRI disclosure 403-8 Workers covered by an occupational health and safety management system is a direct match to the BRSR requirement P3_Q10, as it specifically addresses the management system for occupational health and safety.",llama-3.1-8b-instant,0.426,608,136,744
P3_Q12,Disclosure 403-6 Promotion of worker health,Exact Match,1.0,Directly addresses workplace health and safety measures,"GRI 403-6 Promotion of worker health is a specific disclosure that requires reporting on measures taken to ensure a safe and healthy work place, aligning closely with the BRSR requirement P3_Q12.",llama-3.1-8b-instant,0.59,602,108,710
P3_Q14,None,No Match,0.0,"None of the provided GRI disclosure candidates match the BRSR requirement for Principle 3, Question 14.","The BRSR requirement asks for assessments for the year, which is not directly related to any of the provided GRI disclosure candidates.",llama-3.1-8b-instant,0.343,615,104,719
P3_Q4,Disclosure 2-26 Mechanisms for seeking advice and,Close Match,0.8,"While Disclosure 2-26 is primarily about mechanisms for seeking advice and raising concerns, it indirectly relates to transition assistance programs as both involve support systems for employees or stakeholders.","Disclosure 2-26 is the closest match as it involves mechanisms for support and assistance, although it's not a direct match for transition assistance programs. The confidence score is 0.8 due to the indirect thematic overlap.",llama-3.1-8b-instant,0.509,665,135,800
P4_Q1,Disclosure 3-1 Process to determine material topic,Exact Match,1.0,"Both BRSR P4_Q1 and GRI 3-1 are focused on identifying key stakeholder groups and determining material topics, respectively. The language and intent are identical.","GRI 3-1 Process to determine material topics is the best match as it directly addresses the process of identifying key stakeholder groups, which is the core requirement of BRSR P4_Q1.",llama-3.1-8b-instant,0.406,622,138,760
